No,region,경도,위도
89,상가북8길 5-4,126.347942362648,33.4514882870833
90,신례중앙로 52-8,126.627125361256,33.2865192009372
91,금악로 202-32,126.309484576664,33.3679029337756
92,서문로4길 12-2,126.517383024205,33.5106677848231
93,월랑북길 30-16,126.477790491491,33.4911683118285
94,구산로6길 29,126.539929763291,33.4804319749954
95,항몽로 37-1,126.405986341664,33.4804691727385
96,남광로2길 51,126.540589900125,33.4887058675012
97,하천로 162,126.837296959157,33.353707098663
98,평대9길 10-2,126.849533976911,33.5253264923458
99,용담로 75,126.510914027805,33.5126419930869
100,독짓골8길 61,126.531105000474,33.4893554049319
101,한신로185번길 89,126.710927526985,33.3158168188924
102,중산간동로 3384,126.881898241065,33.4395321718024
103,월랑로10길 15,126.477144832287,33.4900076371071
104,선사로8길 82,126.592940511658,33.5293491826396
105,장전로 149,126.392670169771,33.4516875052816
106,동상효로68번길 55-4,126.613110855413,33.2754242710994
107,이도공원길 21,126.542796197894,33.4972352189272
108,추자로 102,126.297491592444,33.9590160791821
109,효돈로167번길 31,126.617153114204,33.266279254297
110,신성로12길 30,126.531575062848,33.4947606518399
111,성두길 17-2,126.494036722623,33.4914906733806
112,명월성로 6-1,126.265679725243,33.4080136091207
113,대림하동길 32-2,126.892028684623,35.8233415046468
114,동광로1길 9,126.528994972147,33.5017997434491
115,용화로4길 6,126.504719806954,33.5093346797126
116,인다10길 58,126.551785876677,33.474190876306
117,국기로2길 21,126.491984804507,33.4801685282321
118,수덕5길 39-3,126.475125379783,33.4850286412083
119,다랑곶6길 11-1,126.48131645773,33.4884708741673
120,토상로69번길 56,126.596839663195,33.276614050524
121,하가로2길 30-11,126.349505890752,33.4604397305455
122,동광로20길 4,126.544387684712,33.5066995783221
123,광령평화7길 21,126.436836386743,33.452159791413
124,516로 557-54,126.594730219936,33.3045032536064
125,아봉로 467,126.584056204209,33.4710125600815
126,구남동2길 25-6,127.206828562193,37.2274986086032
127,한수풀로 28-4,126.266241768956,33.4173177371132
128,노형1길 12-9,126.474160212192,33.4802820163283
129,백포서길 12,126.458440090113,33.4999116964034
130,동광로5길 25,126.53029770057,33.503722004278
131,구좌로 51-1,126.857096628914,33.5231977169031
132,신촌북1길 8-1,126.617581638675,33.5349702869619
133,동문로4길 23,126.526714997572,33.511872455407
134,생기악로 69-6,126.639228502184,33.2984092939601
135,동홍남로 24-1,126.570952783221,33.2567544171931
136,남광로2길 49-3,126.540629399561,33.4890967033616
137,솔동산로22번길 17-2,126.562097874653,33.2439613861999
138,김녕로1길 59,126.749908370489,33.5581643374586
139,중문로5번길 8,126.422598176752,33.2527596702879
140,진군3길 15-10,126.478570655664,33.4771509316829
141,천제연로 206,126.426583652674,33.2514800147181
142,한림로12길 5-2,126.265938171379,33.4150744112202
143,월림3길 16,126.254680559329,33.3473258823132
144,서광로26길 35-5,126.524978707228,33.4970620143741
145,하광로 183,126.41869872221,33.4714047591508
146,인다4길 37-2,126.548949927958,33.4709998002927
147,남성로2길 20,128.587570970078,35.869503140438
148,구산봉로 18,126.456345013908,33.2580631762143
149,인다5길 11-17,126.549047883721,33.4759529946988
150,동홍서로 89-4,126.569194079352,33.2567665192772
151,평대9길 15-5,126.848958021787,33.5262082679188
152,봉개북3길 94,126.59935756069,33.4962865525533
153,장생포고래로 248,129.382112828327,35.5023283880857
154,삼산로199번길 19,129.328197763337,35.5394563246091
155,중앙로248번길 29-1,129.314198427772,35.54379854862
156,병영9안길 1,129.347730101077,35.57308589713
157,대학로1번길 10,129.252909975671,35.5367538449552
158,월평로81번길 14,129.314014913322,35.5439762041599
159,주전해안길 90,129.456537726147,35.5611653942709
160,대학로11번길 6,129.254861348198,35.5380308669007
161,아름2길 37,129.451149272273,35.5833103660101
162,양정6길 6-3,129.384839137471,35.5453705949346
164,다운5길 14-3,129.268226294966,35.5635578075795
165,송정1길 39,129.354261824077,35.3661790151782
166,차일2길 13-1,129.358590028007,35.616374852997
167,길천산업로 67,129.094574294973,35.5826886334331
